revision;fpOrderingMergeScenarios;fpRenamingMergeScenarios;fnDuplicationMergeScenarios;fnImportMergeScenarios;textualConfUnmerge;textualConfSsmerge;fpOrderingConf;fpRenamingConf;fnDuplicationMissed;fnImportMissed;fpRenamingConfDup;fpConsLines;fpSpacing;fpConsSpac;fpRenamingConfDupMergeScenarios;fpConsLinesMergeScenarios;fpSpacingMergeScenarios;fpConsSpacMergeScenarios;fnNewArtRefOldOneMergeScnarios;fnNewArtRefOldOneConf;fnInitializationBlocks;fnInitializationBlocksMergeScnarios;fnAcidental;fnAcidentalScenarios;crosscutingConflicts;crosscutingScenarios;equalConfs
/home/arthur/analysis/projects/java/revisions/rev_c94e042_2ca9849/rev_c94e042-2ca9849.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_33d0f0f_ce3de05/rev_33d0f0f-ce3de05.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_5b51117_000b0fd/rev_5b51117-000b0fd.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_f4d3079_dec40bc/rev_f4d3079-dec40bc.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_cf9e8fd_323f0c6/rev_cf9e8fd-323f0c6.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_d028662_2bad4e0/rev_d028662-2bad4e0.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_6371dda_b8fdfa4/rev_6371dda-b8fdfa4.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657.revisions;0;1;0;0;8;11;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_32a26c5_9835283/rev_32a26c5-9835283.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_b9048f7_e82a000/rev_b9048f7-e82a000.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_e646c11_00888fa/rev_e646c11-00888fa.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310.revisions;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_949e687_8efe816/rev_949e687-8efe816.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_04ff58a_6f86268/rev_04ff58a-6f86268.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_605a10a_0c13aa4/rev_605a10a-0c13aa4.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_090f1af_1376f3c/rev_090f1af-1376f3c.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_a93bb25_c6a9c8d/rev_a93bb25-c6a9c8d.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_30b8a30_2587dc3/rev_30b8a30-2587dc3.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_f207b17_dd2ca97/rev_f207b17-dd2ca97.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_7794df7_7594310/rev_7794df7-7594310.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_871da2a_b102c6d/rev_871da2a-b102c6d.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_0da45ef_5f37e7e/rev_0da45ef-5f37e7e.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_83ab4e2_fb6101a/rev_83ab4e2-fb6101a.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_787279a_237ad55/rev_787279a-237ad55.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_e7d2804_e458231/rev_e7d2804-e458231.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_df321fe_ff2a285/rev_df321fe-ff2a285.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_5ec3e29_d2bcf44/rev_5ec3e29-d2bcf44.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_5f0be42_1f0d411/rev_5f0be42-1f0d411.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_eb08be8_fdb1c59/rev_eb08be8-fdb1c59.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_258c576_490fc03/rev_258c576-490fc03.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_1aae734_27fdb88/rev_1aae734-27fdb88.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_4e529f2_7bfe76d/rev_4e529f2-7bfe76d.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_1ddd47b_02a02c3/rev_1ddd47b-02a02c3.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_cb254a6_450d417/rev_cb254a6-450d417.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_fcd9ec6_1f0d411/rev_fcd9ec6-1f0d411.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
