revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/grpc-java/revisions/rev_c449d90_5902c6a/rev_c449d90-5902c6a.revisions;258;127;0;127;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_2253051_2ebcb1b/rev_2253051-2ebcb1b.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_422f23a_dec40bc/rev_422f23a-dec40bc.revisions;309;169;0;169;0;140;140;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_bb4c290_88b2592/rev_bb4c290-88b2592.revisions;60;51;0;51;0;9;9;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_8362c79_78c1989/rev_8362c79-78c1989.revisions;2475;627;0;627;0;1848;1848;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_611bd3c_54cbd65/rev_611bd3c-54cbd65.revisions;193;128;0;128;0;65;65;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_15db37e_d38204d/rev_15db37e-d38204d.revisions;167;92;0;92;0;75;75;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_c94e042_2ca9849/rev_c94e042-2ca9849.revisions;934;638;0;638;0;296;295;1;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_33d0f0f_ce3de05/rev_33d0f0f-ce3de05.revisions;79;74;0;74;0;5;5;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_5b51117_000b0fd/rev_5b51117-000b0fd.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
